State,Code,Location,"Square
Feet","Year
Opened",Description of Operation
California,ONT4/ ONT7,"2020 E. Central Ave., Building 4, San Bernardino, California, USA, 92408-2606","514,600","October
2013","Building 4 connects to Building 3 ONT4 is Amazon.Fresh
ONT7 is Amazon Pantry"
California,LAX6,"5119 District Blvd, Vernon, California. USA. 90058","121,100",,Amazon.Fresh
California,OAK6,"1555 N. Chrisman Rd., Tracy, California, USA, 95304-9370",-,"October
2013",OAK6 is Amazon.Fresh for the San Francisco Bay Area co-located within OAK4
California,OAK7,"38811 Cherry Street, Newark. California, USA, 94560-4939",-,"November
2014",OAK7 is Amazon Pantry Co-located within OAKS
Colorado,DEN6,"Crossroads Commerce Park, Building 2, 480 E. 55th Ave., Adams , Denver, Colorado, USA, 80216","290,700",2017,To be confirmed as an Amazon.Fresh Distribution Center
Florida,MIA6/ DMI2,"3200 Northwest 67th Avenue. Miami, Florida. USA, 33122",117.200,2017,Amazon Pantry/Delivery Station
Georgia,ATL9,"2232 Northmont Parkway, Duluth, Georgia, USA, 30096","88,800","November
2016",Amazon.Fresh for Atlanta Market
Illinois,ORD61 UIL2,"1250 N. Mittel Blvd, Wood Dale, Illinois, USA, 60191","82,100","July
2016",Amazon.Fresh for Chicago market
Kentucky,CVGS/ CVG7,"2285 Litton Lane, Hebron, Kentucky, USA, 41048-8435",-,"September
2013",CVG7 is Amazon Pantry Co-located in CVGS
Massachusetts,BOS6/ DB01,"201 Beacham Street, Everett (Chelsea), Massachusetts, USA, 02149-5518",96.600,"June
2015",Amazon.Fresh for Boston Market
New Jersey,EWR61 EWR7,"275 Omar Ave., Avenel, New Jersey, USA, 07001-2225","391,700","September
2013","EWR6 is Amazon Fresh
EWR7 is Amazon Pantry"
New Jersey,LGA7/ LGA8,"380 Middlesex Ave, Carteret, New Jersey, USA, 07008-3446","810,000","August
2016","LGA7 is Pantry;
LGA8 is Amazon.Fresh Formerly a White Rose DC"
New York,,"201 Grumman Rd. W. , Bethpage, New York, USA, 11714","161,400",Q4 2016 ,"Amazon Pantry (FDFC)
Formerly a Goya Distribution Center"
Texas,DAL6/ DDA3/ UTX7,"4601 Gold Spike Drive, Fort Worth, Texas, USA, 76106","558,600","October
2016",Amazon.Fresh Distribution Center
Texas,,"Fallbrook Pines Business Park, Houston, Texas, USA, 77064","197,900",2018,Amazon.Fresh Distribution Center
Virginia,BWI1,"45121 Global Plaza, Sterling, Virginia, USA, 20166","80,900","September
2013",Amazon Pantry (FDFC)
Virginia,BWI6I UVA1,"5617 Industrial Dr, Suite A, Springfield, Virginia, USA, 22151- 4410","115,100","June
2016 ",Amazon.Fresh
Washington,SEA6/ SEA8/ ISE2,"1227 124th Ave NE, Building 2, Bellevue, Washington, USA, 98005-2111","313,300","August
2007","SEA6: Amazon Pantry Fulfillment Center
SEA8: Amazon Fresh Fulfillment Center with perishables and frozen foods. SEA8 to move to BFI6 in Q2 2017."
Washington,BFI6,"20202 84th Ave S., Kent, Washington, USA, 98032","158,200",Q2 2017,Amazon Fresh to replace SEA8 by Q2 2017
Washington,BFI7,"1901 140th Ave E, Sumner, Washington, USA, 98390","229,800",Q2 2017,Amazon Pantry to replace SEA6 by Q2 2017
Wisconsin,MKE7,"Burlington, Wisconsin, USA",-,2018,Amazon Pantry for Milwaukee TBD
